OrderNum,AudioName,Syl,Freq
1,door,1,H
2,sock,1,L
3,anchor,2,L
4,table,2,H
5,dice,1,L
6,garage,2,L
7,leaf,1,M
8,saw,1,L
9,king,1,H
10,elephant,3,L
11,cat,1,M
12,skis,1,L
13,well,1,L
14,fork,1,L
15,fireplace,2,L
16,shoe,1,M
17,fish,1,M
18,pumpkin,2,L
19,butterfly,3,L
20,scissors,2,L
21,bone,1,M
22,piano,3,M
23,sun,1,H
24,hair,1,H
25,crutches,2,L
26,microscope,3,L
27,plant,1,H
28,house,1,H
29,celery,3,L
30,pear,1,L
31,cheerleaders,3,L
32,crown,1,L
33,typewriter,3,L
34,window,2,H
35,rake,1,L
36,ghost,1,L
37,van,1,L
38,seal,1,L
39,pillow,2,L
40,chair,1,H
41,nose,1,M
42,ruler,2,L
43,whistle,2,L
44,camel,2,L
45,harp,1,L
46,volcano,3,L
47,bridge,1,H
48,octopus,3,L
49,bed,1,H
50,owl,1,L
51,wig,1,L
52,basket,2,L
53,ball,1,H
54,duck,1,L
55,skull,1,L
56,hand,1,H
57,can  ,1,L
58,map,1,L
59,vest,1,L
60,necklace,2,L
61,camera,3,M
62,banana,3,L
63,ambulance,3,L
64,grapes,1,L
65,pig,1,L
66,nurse,1,L
67,star,1,M
68,spoon,1,L
69,bowl,1,M
70,dog,1,H
71,tractor,2,M
72,kite,1,L
73,squirrel,2,L
74,sailor,2,L
75,iron,2,M
76,heart,1,H
77,pineapple,3,L
78,snail,1,L
79,cannon,2,L
80,towel,2,L
81,cow,1,M
82,ear,1,M
83,broom,1,L
84,toilet,2,L
85,hammer,2,L
86,mountain,2,H
87,bench,1,M
88,flashlight,2,L
89,queen,1,M
90,pen,1,L
91,suit,1,M
92,horse,1,H
93,comb,1,L
94,monkey,2,L
95,key,1,M
96,fireman,2,L
97,corn,1,M
98,frog,1,L
99,belt,1,M
100,dinosaur,3,L
101,cane,1,L
102,church,1,H
103,flower,2,M
104,eye,1,H
105,hose,1,L
106,tent,1,M
107,man,1,H
108,scale,1,M
109,pencil,2,M
110,tree,1,H
111,mustache,2,L
112,turkey,2,L
113,drum,1,M
114,football,2,M
115,bottle,2,H
116,snake,1,M
117,top,1,H
118,pipe,1,M
119,lion,2,M
120,cross,1,M
121,candle,2,L
122,chimney,2,L
123,balloon,2,L
124,zipper,2,L
125,cowboy,2,L
126,nail,1,L
127,train,1,H
128,goat,1,L
129,vase,1,L
130,stethoscope,3,L
131,wagon,2,M
132,scarf,1,L
133,bus,1,M
134,letter,2,H
135,bat,1,L
136,boot,1,M
137,calendar,3,M
138,knife,1,H
139,book,1,H
140,cake,1,L
141,bread,1,M
142,binoculars,4,L
143,bride,1,M
144,umbrella,3,L
145,dragon,2,L
146,clown,1,L
147,slippers,2,L
148,waterfall,3,L
149,helicopter,4,L
150,sandwich,2,L
151,zebra,2,L
152,bell,1,L
153,rope,1,L
154,clock,1,M
155,ring,1,M
156,beard,1,M
157,carrot,2,L
158,spider,2,L
159,hat,1,M
160,desk,1,M
161,apple,2,L
162,pie,1,L
163,glove,1,L
164,pyramid,3,L
165,kitchen,2,H
166,lamp,1,L
167,pirate,2,L
168,baby,2,H
169,glass,1,H
170,closet,2,L
171,thermometer,4,L
172,foot,1,H
173,saddle,2,M
174,strawberries,3,L
175,fan,1,M
